name,score
Afghanistan,0.811817419098874
Albania,0.5759821012946811
Algeria,0.8112894404600711
Andorra,-0.36504783264683827
Angola,0.7235346477346197
Anguilla,0.02010092705313693
Antigua and Barbuda,0.20214769210507422
Argentina,0.3711924221447509
Armenia,0.44063790419612514
Aruba,-0.0969119399818718
Australia,0.900805895702758
Austria,0.49384175626610466
Azerbaijan,0.6763649116967932
Bahamas,0.48129509833753586
Bahrain,0.056292733715746265
Bangladesh,0.8286231132042824
Barbados,0.4286086374238049
Belarus,0.5871965821223204
Belgium,0.37163582300486986
Belize,0.3732967459610398
Benin,0.24473296822434934
Bermuda,0.14937969908876259
Bhutan,0.48045008833931335
Bolivia (Plurinational State of),0.6656437783060055
Bonaire,-0.15935558548483858
Bosnia and Herzegovina,0.5059715385887636
Botswana,0.06590981507465209
Brazil,0.4307614473787615
Brunei Darussalam,0.17843691064906925
Bulgaria,0.5203013201814706
Burkina Faso,0.6675262154545155
Burundi,0.5155685393959808
Cabo Verde,0.4119971440324511
Cambodia,0.46215525306103833
Cameroon,0.276574852478245
Canada,0.6996933760795744
Cayman Islands,0.2561785512096441
Central African Republic,0.30598833222415867
Chad,0.6543706075602237
Chile,0.4484909639572144
China,0.9750069058810898
Colombia,0.46785855352520755
Comoros,0.35472012154819776
Congo,0.21515830839847813
"Congo, Democratic Republic of the",0.7503803975800646
Costa Rica,0.47290038742792234
Croatia,0.3654146032385692
Cuba,0.7733805575851455
Curaçao,0.0005932618084288355
Cyprus,0.35563454775171144
Czechia,0.02099654757765788
Côte d'Ivoire,0.7011004104205748
Denmark,0.6186462751569911
Djibouti,0.6516578863980903
Dominica,0.09309039917541055
Dominican Republic,0.6753651246742127
Ecuador,0.6757424835100894
Egypt,0.8662044372532319
El Salvador,0.5124090547229617
Equatorial Guinea,0.2003919879732037
Eritrea,0.32359247155022935
Estonia,0.3012796160048066
Eswatini,0.6949393031870332
Ethiopia,0.8034845279985741
Falkland Islands (Malvinas),-0.04947344699335288
Faroe Islands,0.209358390434022
Fiji,0.1588419422998463
Finland,0.754722585996553
France,0.4284214252256347
French Guiana,0.13434350130552403
French Polynesia,0.06125586190600093
Gabon,0.3246821315843579
Gambia,0.39836003795875197
Georgia,0.3781113675260946
Germany,0.6669066418611715
Ghana,0.5614855644275696
Gibraltar,-0.18897653384706267
Greece,0.6629329714489038
Greenland,0.04873323794026672
